Name	Radius (centimeters)	Height (centimeters)	Cost per Can (U.S. dollars)	Volume	Surface	Efficiency
#5	13,02	14,29	$0,83	532,56	2.234,15	0,24
#8Z short	6,83	7,62	$0,26	146,55	620,11	0,24
#10	15,72	17,78	$1,53	776,35	3.308,85	0,23
#2.5	10,32	11,91	$0,61	334,59	1.441,45	0,23
#2	8,73	11,59	$0,45	239,43	1.114,60	0,21
#303	8,10	11,11	$0,42	206,12	977,67	0,21
#300	7,62	11,27	$0,38	182,41	904,41	0,20
#1 Picnic	6,83	10,16	$0,28	146,55	729,11	0,20
#1 Tall	7,78	11,91	$0,43	190,16	962,51	0,20
#6Z	5,40	8,89	$0,22	91,61	484,85	0,19
#3 Cylinder	10,79	17,78	$0,86	365,76	1.936,92	0,19
#211	6,83	12,38	$0,34	146,55	824,38	0,18
