2023/10/01, Salary, 50000
2023/10/01, Bonus, 3000
2023/10/02, 2 x Hamburgers, -26000
2023/10/03, Breakfast, -5000
2023/10/04, Lunch, -4000
2023/10/05, Salary, 50000
2023/10/06, Bonus, 3000
2023/10/07, 2 x Hamburgers, -26000
2023/10/08, Breakfast, -5000
2023/10/09, Lunch, -4000
2023/10/10, Salary, 50000
2023/10/11, Bonus, 3000
2023/10/12, 2 x Hamburgers, -26000
2023/10/13, Breakfast, -5000
2023/10/14, Lunch, -4000
2023/10/15, Salary, 50000
2023/10/16, Bonus, 3000
2023/10/17, 2 x Hamburgers, -26000
2023/10/18, Breakfast, -5000
2023/10/19, Lunch, -4000
2023/10/20, Salary, 50000
2023/10/21, Bonus, 3000
2023/10/22, 2 x Hamburgers, -26000
2023/10/23, Breakfast, -5000
2023/10/24, Lunch, -4000
2023/10/24, Salary, 50000
2023/10/24, Bonus, 3000
2023/10/24, 2 x Hamburgers, -26000
2023/10/24, Breakfast, -5000
2023/10/24, Lunch, -4000
2023/10/24, Salary, 50000
2023/10/24, Bonus, 3000
2023/10/24, 2 x Hamburgers, -26000
2023/10/24, Breakfast, -5000
2023/10/24, Lunch, -4000
2023/10/24, 123, 123.0
2023/10/24, asdasd, -123.0
2023/10/24, 123, 3333.0
2023/10/24, wdqwe, 12313.0
2023/10/24, 123123123, 123123123.0
2023/10/24, 1qeqewqe, 123132.0
2023/10/24, asdasd, 123123.0
2023/10/24, dasdads, 123123.0
2023/10/24, dasdasd, 1231.0
2023/10/24, bc, -1231.0
2023/10/24, :O, -5555555555.0
